documento,numero,fecha,grupo1,tipo,pedido,numpedido
18003056,435.52,03/05/18,PACO CANTERO,Factura,Pedido,19926
18003055,2754.86,03/05/18,PACO CANTERO,Factura,Pedido,20257
18003054,256.86,03/05/18,PACO CANTERO,Factura,Pedido,20547
18003053,14.07,03/05/18,PACO CANTERO,Factura,Pedido,17803
18002332,93.12,05/04/18,PACO CANTERO,Factura,Pedido,20010
18005393,112.02,26/07/18,PACO CANTERO,Factura,Pedido,16164
18005394,616.02,26/07/18,PACO CANTERO,Factura,Pedido,19778
18005395,2092.69,26/07/18,PACO CANTERO,Factura,Pedido,20067
18005396,185.04,26/07/18,PACO CANTERO,Factura,Pedido,20169
18003412,1885.72,17/05/18,PACO CANTERO,Factura,Pedido,19778
18003413,675.82,17/05/18,PACO CANTERO,Factura,Pedido,20067
18003414,90.97,17/05/18,PACO CANTERO,Factura,Pedido,20169
18003415,470.55,17/05/18,PACO CANTERO,Factura,Pedido,16994
18003416,15.23,17/05/18,PACO CANTERO,Factura,Pedido,16527
18003417,2233.49,17/05/18,PACO CANTERO,Factura,Pedido,20113
18003418,730.66,17/05/18,PACO CANTERO,Factura,Pedido,18354
18003419,934.61,17/05/18,PACO CANTERO,Factura,Pedido,18009
18003420,140.17,17/05/18,PACO CANTERO,Factura,Pedido,20017
18003421,123.91,17/05/18,PACO CANTERO,Factura,Pedido,20415
18003422,106.52,17/05/18,PACO CANTERO,Factura,Pedido,17055
18002100,171.10,22/03/18,PACO CANTERO,Factura,Pedido,20565
18002099,132.18,22/03/18,PACO CANTERO,Factura,Pedido,20547
18003431,160.83,17/05/18,PACO CANTERO,Factura,Pedido,19926
18000944,35.96,08/02/18,PACO CANTERO,Factura,Pedido,19735
18000943,453.92,08/02/18,PACO CANTERO,Factura,Pedido,19782
18000942,55.71,08/02/18,PACO CANTERO,Factura,Pedido,19030
18000941,165.17,08/02/18,PACO CANTERO,Factura,Pedido,16211
18003430,118.50,17/05/18,PACO CANTERO,Factura,Pedido,20010
18003429,1428.31,17/05/18,PACO CANTERO,Factura,Pedido,20257
18003428,1190.93,17/05/18,PACO CANTERO,Factura,Pedido,20565
18003427,8.25,17/05/18,PACO CANTERO,Factura,Pedido,17803
18003426,1430.79,17/05/18,PACO CANTERO,Factura,Pedido,19663
18003425,1104.40,17/05/18,PACO CANTERO,Factura,Pedido,18095
18000940,2598.65,08/02/18,PACO CANTERO,Factura,Pedido,19926
18000939,14.43,08/02/18,PACO CANTERO,Factura,Pedido,20010
